Index,Average,Standard Deviation
0.0,388893.504,491.66283103771036
1.0,388693.4,611.586381928199
2.0,388693.4,611.586381928199
3.0,388693.4,611.586381928199
4.0,388693.4,611.586381928199
5.0,388693.4,611.586381928199
10.0,388693.4,611.586381928199
15.0,388693.4,611.586381928199
20.0,389276.02599999995,1436.9362990418276
30.0,388693.4,611.586381928199
40.0,388693.4,611.586381928199
50.0,388693.4,611.586381928199
60.0,389056.85199999996,1053.6215348292897
70.0,389056.85199999996,1053.6215348292897
80.0,389405.32800000004,1462.5522784283733
90.0,389579.75200000004,1325.6927686670176
100.0,389579.75200000004,1325.6927686670176
