Index,Average,Standard Deviation
0.0,471.13974399999995,21.86612896398683
1.0,442.31153400000005,27.973359469257588
2.0,1515.83518,1045.9294095751325
3.0,1267.8149799999999,1208.7273918065782
4.0,1429.278956,1439.213131508602
5.0,1595.131768,1150.763674709023
10.0,2676.41642,2739.4422350237705
15.0,1192.2658560000002,1256.7811121317018
20.0,1488.742798,1470.9272078969536
30.0,1014.67078,820.4815760716308
40.0,984.3539480000002,1019.6913326961886
50.0,958.853674,733.5269127141042
60.0,619.631582,806.0964912941516
70.0,693.8940620000001,899.750877067927
80.0,871.2344052000001,820.5931964753179
90.0,770.5355534,941.3619255396969
100.0,551.220367,843.5568833081675
