Index,Average,Standard Deviation
0.0,390751.542,3088.5912542801907
1.0,390551.43799999997,3227.2748830950404
2.0,390551.43799999997,3227.2748830950404
3.0,390551.43799999997,3227.2748830950404
4.0,390691.818,3125.265939368373
5.0,390691.818,3125.265939368373
10.0,390691.818,3125.265939368373
15.0,390691.818,3125.265939368373
20.0,390691.818,3125.265939368373
30.0,390701.212,3119.222808671433
40.0,389025.318,997.3418914775496
50.0,389188.912,926.1424120166489
60.0,388972.18000000005,607.1318686743642
70.0,388972.18000000005,607.1318686743642
80.0,388972.18000000005,607.1318686743642
90.0,389146.60399999993,371.6370127207681
100.0,389065.41,484.91697408939297
