Index,Average,Standard Deviation
0.0,388700.8333333333,527.2516348850025
1.0,388700.8333333333,527.2516348850025
2.0,388700.8333333333,527.2516348850025
3.0,388700.8333333333,527.2516348850025
4.0,388700.8333333333,527.2516348850025
5.0,388700.8333333333,527.2516348850025
10.0,388700.8333333333,527.2516348850025
15.0,388700.8333333333,527.2516348850025
20.0,388700.8333333333,527.2516348850025
30.0,388700.8333333333,527.2516348850025
40.0,388700.8333333333,527.2516348850025
50.0,388700.8333333333,527.2516348850025
60.0,388700.8333333333,527.2516348850025
70.0,388700.8333333333,527.2516348850025
80.0,388700.8333333333,527.2516348850025
90.0,388700.8333333333,527.2516348850025
100.0,389069.95,90.8300000000163
