Index,Average,Standard Deviation
0.0,84.758293,8.364042087233658
1.0,87.35794519999999,6.760943068178885
2.0,90.1404372,5.780336730938034
3.0,90.9780688,6.176472146387108
4.0,90.3965734,6.2564725572686575
5.0,90.817099,4.007543786907887
10.0,98.892362,9.344776065576749
15.0,95.9660998,6.646277097452392
20.0,101.95923880000001,7.889570965648117
30.0,110.70206379999999,7.908916273356911
40.0,104.70209399999999,6.36023131205336
50.0,107.39437319999999,7.028677935990592
60.0,108.4728706,8.055503077690126
70.0,103.7705412,8.409362260424615
80.0,107.6003972,6.520791225018582
90.0,113.0959668,5.374200773485949
100.0,103.1601484,5.238521985503532
