Index,Average,Standard Deviation
0.0,445.443948,22.041705803679882
1.0,425.96894599999996,77.22608267465873
2.0,931.135254,1057.1102898040572
3.0,578.9734679999999,227.19603926190274
4.0,442.72953399999994,111.38464931518338
5.0,697.640996,543.7040799164005
10.0,1103.295408,1105.958856300704
15.0,733.522526,748.8241232074778
20.0,550.7529830000001,793.2579818063077
30.0,679.6010670000001,1109.9592910418362
40.0,368.909058,439.45364282393075
50.0,555.195066,841.6440624157925
60.0,363.6019952,817.3974551182301
70.0,517.8609982,855.991417601571
80.0,1350.25595314,2719.4725924556037
90.0,406.22808088,911.2283159235963
100.0,1403.0299772399999,2795.851603718739
