Index,Average,Standard Deviation
0.0,78.78708180000001,5.610746500310219
1.0,82.08772680000001,1.8453918966466079
2.0,87.3657538,6.356708759870766
3.0,92.8983484,7.036756438205593
4.0,96.82800399999999,8.690769041350368
5.0,98.26938299999999,9.35220450547014
10.0,101.26744319999999,6.367440316448751
15.0,106.413424,6.97975958959791
20.0,101.5199418,5.364692079512947
30.0,99.7010972,4.625026449047977
40.0,106.3391936,3.3101177910807738
50.0,99.413181,3.114038173029354
60.0,102.27684400000001,5.449968578568503
70.0,101.27647979999999,4.755956090656024
80.0,101.4154992,4.477795547038133
90.0,106.633375,5.503030084573407
100.0,105.474602,7.453425398288762
