Index,Average,Standard Deviation
0.0,442.984006,23.676270995046146
1.0,408.34864000000005,77.7410023407836
2.0,384.14712199999997,60.10961249451219
3.0,496.69750000000005,144.73687237459
4.0,437.278088,102.96679476197936
5.0,403.98122,102.05050578978883
10.0,843.8362,1049.3355500578364
15.0,442.40244599999994,225.75104357639103
20.0,267.439923,238.24724021669294
30.0,89.3077636,76.25641271048381
40.0,161.21154800000002,40.018701416043676
50.0,155.031906,100.94734961710478
60.0,18.3007092,127.70935441917766
70.0,64.02030979999999,66.71738906976448
80.0,67.01174114,155.1922341395912
90.0,87.10947488000001,273.926096965306
100.0,-9.51031076,66.73834881985546
