Index,Average,Standard Deviation
0.0,387986.14,47.08000000000465
1.0,387986.14,47.08000000000465
2.0,387986.14,47.08000000000465
3.0,387986.14,47.08000000000465
4.0,387986.14,47.08000000000465
5.0,387986.14,47.08000000000465
10.0,387986.14,47.08000000000465
15.0,388121.48,317.7600000000093
20.0,388121.48,317.7600000000093
30.0,388121.48,317.7600000000093
40.0,388261.53599999996,597.8720000000205
50.0,388261.53599999996,597.8720000000205
60.0,388261.53599999996,597.8720000000205
70.0,388261.53599999996,597.8720000000205
80.0,388261.53599999996,597.8720000000205
90.0,388261.53599999996,597.8720000000205
100.0,388261.53599999996,597.8720000000205
