Index,Average,Standard Deviation
0.0,460.07381399999997,26.617518190527537
1.0,412.10796600000003,74.10055014046915
2.0,930.3673999999999,1058.8232112056066
3.0,1091.4052580000002,963.860466602281
4.0,1242.5960460000001,1307.034927289577
5.0,1232.8553339999999,1132.3561403915737
10.0,1520.521598,1669.8223707785774
15.0,997.4573800000002,772.7627279555928
20.0,699.684066,747.4582103787678
30.0,660.3725666,1122.4347930277281
40.0,360.19324399999994,458.6619106940646
50.0,631.480722,798.418180848122
60.0,499.7698831999999,756.8166492734458
70.0,439.98203279999996,896.2884165078898
80.0,1468.7155782,2663.2108880695273
90.0,574.8596839999999,868.2920396571284
100.0,1465.4448668,2766.8084126371286
