Index,Average,Standard Deviation
0.0,387986.13999999996,47.08000000000465
1.0,387986.13999999996,47.08000000000465
2.0,387986.13999999996,47.08000000000465
3.0,387986.13999999996,47.08000000000465
4.0,388115.77,251.6531215781049
5.0,388303.782,383.5723479293069
10.0,388115.77,251.6531215781049
15.0,388251.11,356.3648922102289
20.0,388251.11,356.3648922102289
30.0,388281.754,390.8884388978568
40.0,388421.80999999994,603.6378150513937
50.0,388421.80999999994,603.6378150513937
60.0,388391.166,589.2066943136541
70.0,388261.53599999996,597.8720000000205
80.0,388261.53599999996,597.8720000000205
90.0,388261.53599999996,597.8720000000205
100.0,388261.53599999996,597.8720000000205
