Index,Average,Standard Deviation
0.0,442.984006,23.676270995046146
1.0,378.82849999999996,44.87951161444072
2.0,398.199746,57.51137335901155
3.0,379.690782,107.33529944763454
4.0,368.226584,95.40416794241384
5.0,381.94590400000004,66.76140477881951
10.0,362.77457400000003,57.39205785527109
15.0,271.830642,111.0453280393736
20.0,291.31433799999996,54.409393137636215
30.0,293.514758,70.87743575868964
40.0,312.23267799999996,64.19991646598129
50.0,255.819888,86.00465888535491
60.0,271.224072,75.94983137652049
70.0,277.85026400000004,124.1500913824968
80.0,216.88187200000002,29.822056862688335
90.0,339.871288,133.5104503860517
100.0,287.228566,74.7436045257178
