Index,Average,Standard Deviation
0.0,478.57033600000005,19.133072944361647
1.0,459.880644,29.48654731768885
2.0,479.61116999999996,20.25257311290494
3.0,451.807318,59.15116709693441
4.0,430.79927200000003,41.58020046818553
5.0,382.15654800000004,63.011926206286184
10.0,391.53176199999996,184.75608592679467
15.0,1895.0037034000002,2164.4007152819713
20.0,1120.551779,1308.6146452429944
30.0,2891.4999119999998,3884.388678089604
40.0,2309.0023840000003,1578.418948799826
50.0,1497.489244,1431.2109519826804
60.0,2671.8159100000003,2959.855498048293
70.0,1620.8223059999998,2285.438173435114
80.0,3476.6524359999994,5125.920380052567
90.0,3962.6653096,7280.35054115801
100.0,1879.01358,2055.259912513745
