Index,Average,Standard Deviation
0.0,389311.1333333333,87.49841039825101
1.0,389311.1333333333,87.49841039825101
2.0,389311.1333333333,87.49841039825101
3.0,389232.17333333334,64.31532805032893
4.0,390503.02,1774.7305013062335
5.0,390503.02,1774.7305013062335
10.0,390779.93,1784.2422604007663
15.0,390957.0633333333,1577.85281464682
20.0,390049.8466666667,2151.9073565147405
30.0,391093.47,1917.9700000000012
40.0,391093.47,1917.9700000000012
50.0,391093.47,1917.9700000000012
60.0,389187.2,11.700000000011642
70.0,389187.2,11.700000000011642
80.0,389187.2,11.700000000011642
90.0,389187.2,11.700000000011642
100.0,389187.2,11.700000000011642
