Index,Average,Standard Deviation
0.0,486.81130200000007,16.75169805694025
1.0,444.31249800000006,50.52731297606885
2.0,449.89594,45.35240834377332
3.0,453.707722,56.52036761260436
4.0,432.91098,37.62359895499844
5.0,401.277092,60.275705023483354
10.0,272.366424,97.18216110215589
15.0,802.080906,1273.256907377907
20.0,1094.3290149999998,1330.8813329793772
30.0,2906.0795539999995,3872.9621446377964
40.0,1817.37177914,1820.6607136583232
50.0,684.1716074,777.0768574332951
60.0,2007.2183570000002,3083.510060850674
70.0,997.807368,2175.344458329679
80.0,2987.804547,5320.5778055140745
90.0,3827.7687896,7336.3295556428775
100.0,1441.960042,2126.55446340525
