Index,Average,Standard Deviation
0.0,389305.64,106.73999999999069
1.0,389305.64,106.73999999999069
2.0,389305.64,106.73999999999069
3.0,389187.2,11.700000000011642
4.0,391093.47,1917.9700000000012
5.0,391093.47,1917.9700000000012
10.0,390827.77,2183.670000000013
15.0,391093.47,1917.9700000000012
20.0,391093.47,1917.9700000000012
30.0,391093.47,1917.9700000000012
40.0,391093.47,1917.9700000000012
50.0,391093.47,1917.9700000000012
60.0,389187.2,11.700000000011642
70.0,389187.2,11.700000000011642
80.0,389187.2,11.700000000011642
90.0,389187.2,11.700000000011642
100.0,389187.2,11.700000000011642
