Index,Average,Standard Deviation
0.0,452.37314000000003,55.316464770237445
1.0,440.92021000000005,31.798635645202776
2.0,428.4613499999999,35.299478723936986
3.0,422.258644,56.66528226535772
4.0,402.891884,47.246611794290864
5.0,353.744018,113.27860009585895
10.0,363.78998200000007,206.14494293620967
15.0,853.8092386000001,1499.6341605812015
20.0,845.6551788,1101.8386439826324
30.0,1418.043076,1700.7056760985247
40.0,1133.8368088,1097.6382921861834
50.0,3506.6378080000004,4129.062178909332
60.0,2142.8580632,2661.629355550621
70.0,2100.4714240000003,2199.4580939376206
80.0,2258.167456,3531.2923271767168
90.0,3150.3991699999997,5242.482091892945
100.0,1454.22128,2082.0721322903523
