Index,Average,Standard Deviation
0.0,390374.13999999996,2154.5363338964607
1.0,390374.13999999996,2154.5363338964607
2.0,390374.13999999996,2154.5363338964607
3.0,390419.58999999997,2222.4566241166553
4.0,390419.58999999997,2222.4566241166553
5.0,390419.58999999997,2222.4566241166553
10.0,389724.1859999999,2335.5929556975443
15.0,389724.1859999999,2335.5929556975443
20.0,389724.1859999999,2335.5929556975443
30.0,389724.1859999999,2335.5929556975443
40.0,389724.1859999999,2335.5929556975443
50.0,389731.52599999995,2330.096537618985
60.0,388824.482,1172.2701818676435
70.0,388824.482,1172.2701818676435
80.0,388873.95599999995,1139.616859239981
90.0,388873.95599999995,1139.616859239981
100.0,388873.95599999995,1139.616859239981
