Index,Average,Standard Deviation
0.0,389255.916,1591.4650919652668
1.0,389255.916,1591.4650919652668
2.0,389255.916,1591.4650919652668
3.0,389255.916,1591.4650919652668
4.0,389255.916,1591.4650919652668
5.0,389255.916,1591.4650919652668
10.0,388560.512,1195.8239999999992
15.0,388560.512,1195.8239999999992
20.0,388560.512,1195.8239999999992
30.0,388560.512,1195.8239999999992
40.0,388560.512,1195.8239999999992
50.0,388567.8520000001,1192.2387316372485
60.0,388567.8520000001,1192.2387316372485
70.0,388567.8520000001,1192.2387316372485
80.0,388617.326,1171.0403174203677
90.0,388617.326,1171.0403174203677
100.0,388617.326,1171.0403174203677
