Index,Average,Standard Deviation
0.0,389311.1333333333,87.49841039825101
1.0,389311.1333333333,87.49841039825101
2.0,389311.1333333333,87.49841039825101
3.0,389232.17333333334,64.31532805032893
4.0,390461.9466666666,1802.7893355452102
5.0,390503.02,1774.7305013062335
10.0,390284.8133333333,1941.2745803609464
15.0,390503.02,1774.7305013062335
20.0,390461.9466666666,1802.7893355452102
30.0,390957.0633333333,1577.85281464682
40.0,390461.9466666666,1802.7893355452102
50.0,390957.0633333333,1577.85281464682
60.0,390461.9466666667,1802.78933554521
70.0,389187.2,11.700000000011642
80.0,389187.2,11.700000000011642
90.0,389187.2,11.700000000011642
100.0,389187.2,11.700000000011642
