Index,Average,Standard Deviation
0.0,389579.245,1625.8054042458512
1.0,389579.245,1625.8054042458512
2.0,389579.245,1625.8054042458512
3.0,389579.245,1625.8054042458512
4.0,389579.245,1625.8054042458512
5.0,389579.245,1625.8054042458512
10.0,388709.99,1294.5174530689023
15.0,388709.99,1294.5174530689023
20.0,388709.99,1294.5174530689023
30.0,388709.99,1294.5174530689023
40.0,388709.99,1294.5174530689023
50.0,388709.99,1294.5174530689023
60.0,388709.99,1294.5174530689023
70.0,388709.99,1294.5174530689023
80.0,388771.8325,1262.857073689952
90.0,388771.8325,1262.857073689952
100.0,388771.8325,1262.857073689952
