('out_directory: '
 './experiments/compound/multi_DKL2/1469983670/wandb/run-20231123_012110-apusi2t7/files')
The device used is : cuda
[8.04357011e-05 1.55209298e-04 2.54620596e-04 4.14302588e-04
 6.38217224e-04 9.84181489e-04 1.50528217e-03 2.31866121e-03
 3.53105144e-03 5.40530577e-03 8.22762856e-03 1.25651040e-02
 1.91752106e-02 2.92109897e-02 4.44344599e-02 6.75275126e-02
 1.02493418e-01 1.55253617e-01 2.32940838e-01 3.12883848e-01]
DEVICE: cuda
/nethome/wmu30/anaconda3/envs/design-baseliness/lib/python3.7/site-packages/gpytorch/lazy/triangular_lazy_tensor.py:136: UserWarning: torch.triangular_solve is deprecated in favor of torch.linalg.solve_triangularand will be removed in a future PyTorch release.
torch.linalg.solve_triangular has its arguments reversed and does not return a copy of one of the inputs.
X = torch.triangular_solve(B, A).solution
should be replaced with
X = torch.linalg.solve_triangular(A, B). (Triggered internally at ../aten/src/ATen/native/BatchLinearAlgebra.cpp:2115.)
  res = torch.triangular_solve(right_tensor, self.evaluate(), upper=self.upper).solution
Epoch 1/200, Train Loss: 0.006449831777148776, Val Loss: 0.004367944955825806
Epoch 2/200, Train Loss: 0.002938938515053855, Val Loss: 0.0016465844959020614
Epoch 3/200, Train Loss: 0.0002591816258823706, Val Loss: -0.0011125649958848953
/nethome/wmu30/anaconda3/envs/design-baseliness/lib/python3.7/site-packages/gpytorch/distributions/multivariate_normal.py:263: NumericalWarning: Negative variance values detected. This is likely due to numerical instabilities. Rounding negative variances up to 1e-06.
  NumericalWarning,
Epoch 4/200, Train Loss: -0.0022229399730761845, Val Loss: -0.0032388596832752226
Epoch 5/200, Train Loss: -0.003603733376496368, Val Loss: -0.0039729708731174465
Epoch 6/200, Train Loss: -0.004708228882816102, Val Loss: -0.0047857118248939515
Epoch 7/200, Train Loss: -0.005433503998650445, Val Loss: -0.00528948700428009
Epoch 8/200, Train Loss: -0.005506656626860301, Val Loss: -0.005219000101089478
Epoch 9/200, Train Loss: -0.005769474864006042, Val Loss: -0.005514650642871857
Epoch 10/200, Train Loss: -0.005690776887867186, Val Loss: -0.005639789402484894
Epoch 11/200, Train Loss: -0.005905952983432346, Val Loss: -0.0056988058686256405
Epoch 12/200, Train Loss: -0.006024234977033403, Val Loss: -0.00603072327375412
Epoch 13/200, Train Loss: -0.0059880897733900285, Val Loss: -0.00572840017080307
Epoch 14/200, Train Loss: -0.00601545943485366, Val Loss: -0.0060277179479599
Epoch 15/200, Train Loss: -0.006179582787884606, Val Loss: -0.0054499971270561215
Epoch 16/200, Train Loss: -0.0061055327985021805, Val Loss: -0.005594649672508239
Epoch 17/200, Train Loss: -0.006127294530471166, Val Loss: -0.005860596537590027
Epoch 18/200, Train Loss: -0.00614742253224055, Val Loss: -0.005714631557464599
Epoch 19/200, Train Loss: -0.00619898643096288, Val Loss: -0.005554762303829193
Epoch 20/200, Train Loss: -0.006209598501523336, Val Loss: -0.005546582996845246
